precinct_id,city,dem_reg_pct,rep_reg_pct,dem_turnout_pct,rep_turnout_pct,dem_rep_margin,rep_performance,total_turnout,categories
19203,Calabasas,41.96,24.18,43.72,34.48,9.240000000000002,10.3,812.0,COMPETITIVE|DEM_LEAN|REP_OVERPERFORM|REP_FLIP_TARGET
23803,Thousand Oaks,38.27,32.96,38.81,40.92,-2.1099999999999994,7.96,523.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24014,Thousand Oaks,39.75,34.04,39.24,41.83,-2.5899999999999963,7.79,502.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
20541,,40.21,30.31,44.72,37.46,7.259999999999998,7.15,606.0,COMPETITIVE|DEM_LEAN|REP_FLIP_TARGET
23887,Thousand Oaks,35.97,35.78,39.25,42.41,-3.1599999999999966,6.63,507.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24017,Thousand Oaks,35.47,36.06,38.66,42.41,-3.75,6.35,507.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
20070,Westlake Village,37.38,35.93,41.0,41.21,-0.21000000000000085,5.28,1400.0,HIGHLY_COMPETITIVE|REP_LEAN|REP_FLIP_TARGET
24018,Thousand Oaks,36.94,36.21,42.53,40.04,2.490000000000002,3.83,562.0,HIGHLY_COMPETITIVE|DEM_LEAN|DEM_FLIP_TARGET
20112,Hidden Hills,38.75,31.7,42.4,35.51,6.890000000000001,3.81,566.0,COMPETITIVE|DEM_LEAN
23932,Thousand Oaks,37.07,38.37,40.64,41.59,-0.9500000000000028,3.22,529.0,HIGHLY_COMPETITIVE|REP_LEAN
